date,price
2025-08-18,4487.12
2025-08-19,4317.28
2025-08-20,4074.5
2025-08-21,4330.49
2025-08-22,4224.44
2025-08-23,4829.23
2025-08-24,4773.88
2025-08-25,4778.11
2025-08-26,4381.63
2025-08-27,4602.37
2025-08-28,4500.15
2025-08-29,4507.56
2025-08-30,4364.36
2025-08-31,4373.36
2025-09-01,4388.93
2025-09-02,4303.2
2025-09-03,4325.86
2025-09-04,4449.87
2025-09-05,4298.09
2025-09-06,4306.61
2025-09-07,4273.11
2025-09-08,4304.03
2025-09-09,4309.69
2025-09-10,4309.34
2025-09-11,4347.48
2025-09-12,4459.32
2025-09-13,4708.84
2025-09-14,4667.7
2025-09-15,4609.79
2025-09-16,4524.24
2025-09-17,4504.27
2025-09-18,4591.77
2025-09-19,4590.64
2025-09-20,4470.48
2025-09-21,4481.8
2025-09-22,4452.87
2025-09-23,4198.97
2025-09-24,4177.62
2025-09-25,4147.07
2025-09-26,3887.08
2025-09-27,4025.76
2025-09-28,4020.62
2025-09-29,4129.06
2025-09-30,4220.05
2025-10-01,4129.18
2025-10-02,4342.63
2025-10-03,4474.79
2025-10-04,4499.98
2025-10-05,4479.87
2025-10-06,4513.77
2025-10-07,4678.44
2025-10-08,4467.62
2025-10-09,4520.79
2025-10-10,4380.9
2025-10-11,3843.16
